PROD_CAT_NR;PROD_CAT_NAME;PROD_CAT_SHORT_NAME;MNGR_EMP_NR;SOURCING_PROD_GROUP_NR;SALE_PROD_GROUP_NR;EXTRACT_DATE
44;"Household Supplies";"Cat. 44";73;10;10;"2022-11-07 00:00:00.000000"
36;Girls;"Cat. 36";66;6;6;"2022-11-07 00:00:00.000000"
66;Nursery;"Cat. 66";61;3;3;"2022-11-07 00:00:00.000000"
20;"Dolls & Accessories";"Cat. 20";65;24;24;"2022-11-07 00:00:00.000000"
86;"Power & Hand Tools";"Cat. 86";55;23;23;"2022-11-07 00:00:00.000000"
93;"Remote & App Controlled Vehicle Parts";"Cat. 93";48;20;20;"2022-11-07 00:00:00.000000"
14;"Collectible Toys";"Cat. 14";73;24;24;"2022-11-07 00:00:00.000000"
11;"Building Toys";"Cat. 11";66;24;24;"2022-11-07 00:00:00.000000"
27;Fabric;"Cat. 27";61;1;1;"2022-11-07 00:00:00.000000"
24;Electrical;"Cat. 24";70;23;23;"2022-11-08 00:00:00.000000"
37;Golf;"Cat. 37";58;8;8;"2022-11-13 00:00:00.000000"
100;"Seasonal Décor";"Cat. 100";67;12;12;"2022-11-15 00:00:00.000000"
15;"Computers & Accessories";"Cat. 15";62;7;7;"2022-11-19 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-17 00:00:00.000000"
77;"Party Supplies";"Cat. 77";81;24;24;"2022-11-13 00:00:00.000000"
82;"Play Vehicles";"Cat. 82";44;24;24;"2022-11-15 00:00:00.000000"
42;"Home Decor";"Cat. 42";39;8;8;"2022-11-19 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";33;15;15;"2022-11-23 00:00:00.000000"
31;"Foot, Hand & Nail Care";"Cat. 31";34;4;4;"2022-11-07 00:00:00.000000"
6;"Baby Care";"Cat. 6";38;3;3;"2022-11-07 00:00:00.000000"
57;"Luggage & Travel Gear";"Cat. 57";31;6;6;"2022-11-07 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";114;24;24;"2022-11-23 00:00:00.000000"
17;Crafting;"Cat. 17";34;1;1;"2022-11-07 00:00:00.000000"
99;"Scrapbooking & Stamping";"Cat. 99";38;1;1;"2022-11-07 00:00:00.000000"
29;Fasteners;"Cat. 29";31;13;13;"2022-11-07 00:00:00.000000"
43;"Home Décor";"Cat. 43";95;12;12;"2022-11-11 00:00:00.000000"
68;"Office & Travel";"Cat. 68";92;8;8;"2022-11-07 00:00:00.000000"
39;Hardware;"Cat. 39";78;23;23;"2022-11-07 00:00:00.000000"
114;"Tricycles, Scooters & Wagons";"Cat. 114";94;24;24;"2022-11-07 00:00:00.000000"
93;"Remote & App Controlled Vehicle Parts";"Cat. 93";89;20;20;"2022-11-22 00:00:00.000000"
91;"Puppets & Puppet Theaters";"Cat. 91";28;24;24;"2022-11-14 00:00:00.000000"
114;"Tricycles, Scooters & Wagons";"Cat. 114";36;24;24;"2022-11-27 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";33;15;15;"2022-11-27 00:00:00.000000"
34;"Gardening & Lawn Care";"Cat. 34";44;17;17;"2022-11-07 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";83;25;25;"2022-11-07 00:00:00.000000"
9;Blu-ray;"Cat. 9";46;14;14;"2022-11-07 00:00:00.000000"
40;Headphones;"Cat. 40";84;15;7;"2022-11-07 00:00:00.000000"
107;"Storage & Organization";"Cat. 107";44;12;12;"2022-11-07 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-07 00:00:00.000000"
8;Bedding;"Cat. 8";52;12;12;"2022-11-07 00:00:00.000000"
42;"Home Decor";"Cat. 42";97;8;8;"2022-11-07 00:00:00.000000"
1;Accessories;"Cat. 1";99;6;6;"2022-11-07 00:00:00.000000"
33;"Games & Accessories";"Cat. 33";80;24;24;"2022-11-07 00:00:00.000000"
118;;"Cat. 118";93;;26;"2022-11-07 00:00:00.000000"
35;Gifts;"Cat. 35";95;3;3;"2022-11-07 00:00:00.000000"
7;"Beading & Jewelry Making";"Cat. 7";97;1;1;"2022-11-07 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-22 00:00:00.000000"
88;"Power Transmission Products";"Cat. 88";99;13;13;"2022-11-07 00:00:00.000000"
65;"Novelty & More";"Cat. 65";80;6;6;"2022-11-07 00:00:00.000000"
69;"Office Electronics";"Cat. 69";97;7;16;"2022-11-14 00:00:00.000000"
35;Gifts;"Cat. 35";78;3;3;"2022-11-21 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";35;22;22;"2022-11-13 00:00:00.000000"
77;"Party Supplies";"Cat. 77";81;24;24;"2022-11-19 00:00:00.000000"
77;"Party Supplies";"Cat. 77";40;24;24;"2022-11-07 00:00:00.000000"
18;"Diploma Frames";"Cat. 18";23;8;8;"2022-11-07 00:00:00.000000"
48;"Kids & Baby";"Cat. 48";25;8;8;"2022-11-07 00:00:00.000000"
67;"Office & School Supplies";"Cat. 67";106;16;16;"2022-11-23 00:00:00.000000"
14;"Collectible Toys";"Cat. 14";15;24;24;"2022-11-07 00:00:00.000000"
58;Makeup;"Cat. 58";19;4;4;"2022-11-07 00:00:00.000000"
47;Kids;"Cat. 47";23;6;6;"2022-11-07 00:00:00.000000"
79;"Personal Care";"Cat. 79";62;4;4;"2022-11-07 00:00:00.000000"
22;Drinkware;"Cat. 22";68;8;8;"2022-11-07 00:00:00.000000"
42;"Home Decor";"Cat. 42";56;8;8;"2022-11-07 00:00:00.000000"
98;"Science Education";"Cat. 98";72;13;13;"2022-11-07 00:00:00.000000"
75;"Painting, Drawing & Art Supplies";"Cat. 75";67;1;1;"2022-11-07 00:00:00.000000"
112;"Top Selection from AmazonPets";"Cat. 112";60;18;18;"2022-11-07 00:00:00.000000"
74;"Paint, Wall Treatments & Supplies";"Cat. 74";62;23;23;"2022-11-07 00:00:00.000000"
4;"Auto Accessories";"Cat. 4";68;8;8;"2022-11-07 00:00:00.000000"
64;"Novelty & Gag Toys";"Cat. 64";63;24;24;"2022-11-16 00:00:00.000000"
44;"Household Supplies";"Cat. 44";73;10;10;"2022-11-09 00:00:00.000000"
12;"Camera & Photo";"Cat. 12";46;7;7;"2022-11-18 00:00:00.000000"
32;Furniture;"Cat. 32";42;12;12;"2022-11-07 00:00:00.000000"
5;"Baby & Toddler Toys";"Cat. 5";51;24;24;"2022-11-07 00:00:00.000000"
117;"Xbox One";"Cat. 117";50;25;25;"2022-11-07 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";45;13;13;"2022-11-07 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";42;25;25;"2022-11-07 00:00:00.000000"
68;"Office & Travel";"Cat. 68";51;8;8;"2022-11-07 00:00:00.000000"
74;"Paint, Wall Treatments & Supplies";"Cat. 74";4;23;23;"2022-11-07 00:00:00.000000"
21;"Dress Up & Pretend Play";"Cat. 21";13;24;24;"2022-11-07 00:00:00.000000"
67;"Office & School Supplies";"Cat. 67";6;16;16;"2022-11-07 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-11 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";4;13;13;"2022-11-07 00:00:00.000000"
84;"Portable Audio & Video";"Cat. 84";13;7;7;"2022-11-07 00:00:00.000000"
103;"Skin Care";"Cat. 103";6;4;4;"2022-11-07 00:00:00.000000"
